track_id,ClusterSize,bias_tolerance,gt_family,cluster_id,NSM,SCE,EPR,LRR,LR2,LSE,LCI,TemporalSpan_days,ValidRegression,angle_deg,center_lat,center_lon
0129,18,0.5,gt1,17,-66.2,-67.32,-13.32,-14.0,0.99,5.75,18.87,1816.0,True,87.32,70.8803008666406,-153.88907684605906
0129,18,0.5,gt1,20,-78.97,-79.73,-15.88,-16.33,1.0,3.38,10.84,1816.0,True,78.72,70.88040713825241,-153.8865846484398
0129,18,0.5,gt1,10,-74.18,-74.18,-49.71,-49.68,0.91,16.36,196.88,545.0,True,87.29,70.88025239067373,-153.8902150439179
0129,18,0.5,gt1,26,278.31,-295.64,223.9,204.06,0.59,149.7,2148.42,454.0,True,87.4,70.88024176599662,-153.89046689619494
0129,18,0.5,gt2,51,-107.21,-107.21,-18.74,-17.71,0.96,8.67,4.82,2089.0,True,83.97,70.88443686334134,-153.8020994647072
0129,18,0.5,gt2,36,-107.21,-107.21,-18.74,-17.57,0.96,9.02,4.98,2089.0,True,83.87,70.88444589230185,-153.80188374396727
0129,18,0.5,gt2,62,-102.99,-102.99,-18.01,-17.78,0.98,6.98,4.87,2089.0,True,84.0,70.88453999845886,-153.79965269016188
0129,18,0.5,gt2,47,-66.61,-66.61,-16.74,-16.59,0.89,12.22,17.51,1453.0,True,83.86,70.88445526359563,-153.801662325528
0129,18,0.5,gt2,42,,,,,,,,,False,83.9,70.8842530308188,-153.8021702371341
0129,18,0.5,gt2,52,-96.24,-96.24,-18.43,-17.37,0.95,9.66,7.51,1907.0,True,83.97,70.88454950965843,-153.7994254382764
0129,18,0.5,gt2,55,-71.99,-71.99,-18.1,-16.87,0.9,16.3,71.96,1453.0,True,83.9,70.88455737344225,-153.7992398078017
0129,18,0.5,gt2,60,,,,,,,,,False,83.93,70.88442105060226,-153.80247764041673
0129,18,0.5,gt2,45,-35.24,-35.24,-11.81,,,,,1090.0,False,83.94,70.88445957182016,-153.8015046413042
0129,18,0.5,gt2,65,-45.67,-45.67,-15.3,,,,,1090.0,False,81.61,70.88453107007933,-153.79771650560144
0129,18,0.5,gt2,41,-40.11,-40.11,-13.44,,,,,1090.0,False,83.88,70.88451015608415,-153.80035879701106
0129,18,0.5,gt2,44,,,,,,,,,False,83.88,70.88431965272848,-153.80488233489237
0129,18,0.5,gt2,53,1.83,-1.83,,,,,,90.0,False,84.01,70.88458354773184,-153.79861815891496
0129,18,0.5,gt3,87,-83.6,-83.6,-30.57,-30.13,0.92,16.77,110.07,999.0,True,83.47,70.88664407059962,-153.71048799921311
0129,18,0.5,gt3,94,-41.15,-41.15,-13.79,,,,,1090.0,False,83.67,70.88665957606277,-153.71011532280068
0129,18,0.5,gt3,86,-39.93,-41.09,-12.36,-12.96,0.99,3.09,15.42,1180.0,True,83.7,70.88666801898461,-153.70991212352953
0129,18,0.5,gt3,71,-91.13,-91.13,-24.42,-23.48,0.86,18.9,28.6,1363.0,True,87.3,70.8865350172282,-153.71310638579806
0129,18,0.5,gt3,82,-5.42,-5.42,-2.42,,,,,817.0,False,87.26,70.88649891923335,-153.71397305767115
0129,18,0.5,gt3,70,-42.5,-42.5,-14.24,,,,,1090.0,False,87.31,70.88655458294423,-153.71263624866455
0129,18,0.5,gt3,81,-93.63,-93.63,-18.83,-17.83,0.98,9.43,31.61,1816.0,True,87.49,70.88657862952938,-153.71205809266226
0129,18,0.5,gt3,80,-34.66,-34.66,-27.88,,,,,454.0,False,88.92,70.88641098562599,-153.71608564221054
0129,18,0.75,gt1,25,-82.98,-90.66,-16.68,-16.39,0.92,8.98,5.48,1817.0,True,78.94,70.8803654829799,-153.88756255434885
0129,18,0.75,gt1,14,-95.54,-95.54,-20.22,-18.02,0.9,13.13,10.79,1726.0,True,87.88,70.88027490658638,-153.88969623784678
0129,18,0.75,gt1,29,-90.66,-90.66,-19.19,-16.53,0.91,10.39,7.42,1726.0,True,78.72,70.88037265286376,-153.88739417920073
0129,18,0.75,gt1,27,-97.73,-97.73,-18.72,-17.05,0.95,10.18,7.08,1907.0,True,78.96,70.88038288501423,-153.88715440712105
0129,18,0.75,gt1,3,-71.02,-71.02,-16.8,,,,,1544.0,False,87.06,70.88029006551535,-153.88933067658752
0129,18,0.75,gt1,17,-66.2,-67.32,-13.32,-14.0,0.99,5.75,18.87,1816.0,True,87.32,70.8803008666406,-153.88907684605906
0129,18,0.75,gt1,20,-78.97,-79.73,-15.88,-16.33,1.0,3.38,10.84,1816.0,True,78.72,70.88040713825241,-153.8865846484398
0129,18,0.75,gt1,10,-74.18,-74.18,-49.71,-49.68,0.91,16.36,196.88,545.0,True,87.29,70.88025239067373,-153.8902150439179
0129,18,0.75,gt1,26,278.31,-295.64,223.9,204.06,0.59,149.7,2148.42,454.0,True,87.4,70.88024176599662,-153.89046689619494
0129,18,0.75,gt2,51,-107.21,-107.21,-18.74,-17.71,0.96,8.67,4.82,2089.0,True,83.97,70.88443686334134,-153.8020994647072
0129,18,0.75,gt2,36,-107.21,-107.21,-18.74,-17.57,0.96,9.02,4.98,2089.0,True,83.87,70.88444589230185,-153.80188374396727
0129,18,0.75,gt2,62,-102.99,-102.99,-18.01,-17.78,0.98,6.98,4.87,2089.0,True,84.0,70.88453999845886,-153.79965269016188
0129,18,0.75,gt2,47,-66.61,-66.61,-16.74,-16.59,0.89,12.22,17.51,1453.0,True,83.86,70.88445526359563,-153.801662325528
0129,18,0.75,gt2,42,,,,,,,,,False,83.9,70.8842530308188,-153.8021702371341
0129,18,0.75,gt2,52,-96.24,-96.24,-18.43,-17.37,0.95,9.66,7.51,1907.0,True,83.97,70.88454950965843,-153.7994254382764
0129,18,0.75,gt2,55,-71.99,-71.99,-18.1,-16.87,0.9,16.3,71.96,1453.0,True,83.9,70.88455737344225,-153.7992398078017
0129,18,0.75,gt2,60,,,,,,,,,False,83.93,70.88442105060226,-153.80247764041673
0129,18,0.75,gt2,45,-35.24,-35.24,-11.81,,,,,1090.0,False,83.94,70.88445957182016,-153.8015046413042
0129,18,0.75,gt2,65,-45.67,-45.67,-15.3,,,,,1090.0,False,81.61,70.88453107007933,-153.79771650560144
0129,18,0.75,gt2,41,-40.11,-40.11,-13.44,,,,,1090.0,False,83.88,70.88451015608415,-153.80035879701106
0129,18,0.75,gt2,44,,,,,,,,,False,83.88,70.88431965272848,-153.80488233489237
0129,18,0.75,gt2,53,1.83,-1.83,,,,,,90.0,False,84.01,70.88458354773184,-153.79861815891496
0129,18,0.75,gt3,87,-83.6,-83.6,-30.57,-30.13,0.92,16.77,110.07,999.0,True,83.47,70.88664407059962,-153.71048799921311
0129,18,0.75,gt3,94,-41.15,-41.15,-13.79,,,,,1090.0,False,83.67,70.88665957606277,-153.71011532280068
0129,18,0.75,gt3,86,-39.93,-41.09,-12.36,-12.96,0.99,3.09,15.42,1180.0,True,83.7,70.88666801898461,-153.70991212352953
0129,18,0.75,gt3,71,-91.13,-91.13,-24.42,-23.48,0.86,18.9,28.6,1363.0,True,87.3,70.8865350172282,-153.71310638579806
0129,18,0.75,gt3,82,-5.42,-5.42,-2.42,,,,,817.0,False,87.26,70.88649891923335,-153.71397305767115
0129,18,0.75,gt3,70,-42.5,-42.5,-14.24,,,,,1090.0,False,87.31,70.88655458294423,-153.71263624866455
0129,18,0.75,gt3,81,-93.63,-93.63,-18.83,-17.83,0.98,9.43,31.61,1816.0,True,87.49,70.88657862952938,-153.71205809266226
0129,18,0.75,gt3,80,-34.66,-34.66,-27.88,,,,,454.0,False,88.92,70.88641098562599,-153.71608564221054
0129,18,1.0,gt1,25,-82.98,-90.66,-16.68,-16.39,0.92,8.98,5.48,1817.0,True,78.94,70.8803654829799,-153.88756255434885
0129,18,1.0,gt1,14,-95.54,-95.54,-20.22,-18.02,0.9,13.13,10.79,1726.0,True,87.88,70.88027490658638,-153.88969623784678
0129,18,1.0,gt1,29,-90.66,-90.66,-19.19,-16.53,0.91,10.39,7.42,1726.0,True,78.72,70.88037265286376,-153.88739417920073
0129,18,1.0,gt1,27,-97.73,-97.73,-18.72,-17.05,0.95,10.18,7.08,1907.0,True,78.96,70.88038288501423,-153.88715440712105
0129,18,1.0,gt1,3,-71.02,-71.02,-16.8,,,,,1544.0,False,87.06,70.88029006551535,-153.88933067658752
0129,18,1.0,gt1,17,-66.2,-67.32,-13.32,-14.0,0.99,5.75,18.87,1816.0,True,87.32,70.8803008666406,-153.88907684605906
0129,18,1.0,gt1,20,-78.97,-79.73,-15.88,-16.33,1.0,3.38,10.84,1816.0,True,78.72,70.88040713825241,-153.8865846484398
0129,18,1.0,gt1,10,-74.18,-74.18,-49.71,-49.68,0.91,16.36,196.88,545.0,True,87.29,70.88025239067373,-153.8902150439179
0129,18,1.0,gt1,26,278.31,-295.64,223.9,204.06,0.59,149.7,2148.42,454.0,True,87.4,70.88024176599662,-153.89046689619494
0129,18,1.0,gt2,51,-107.21,-107.21,-18.74,-17.71,0.96,8.67,4.82,2089.0,True,83.97,70.88443686334134,-153.8020994647072
0129,18,1.0,gt2,36,-107.21,-107.21,-18.74,-17.57,0.96,9.02,4.98,2089.0,True,83.87,70.88444589230185,-153.80188374396727
0129,18,1.0,gt2,62,-102.99,-102.99,-18.01,-17.78,0.98,6.98,4.87,2089.0,True,84.0,70.88453999845886,-153.79965269016188
0129,18,1.0,gt2,47,-66.61,-66.61,-16.74,-16.59,0.89,12.22,17.51,1453.0,True,83.86,70.88445526359563,-153.801662325528
0129,18,1.0,gt2,42,,,,,,,,,False,83.9,70.8842530308188,-153.8021702371341
0129,18,1.0,gt2,52,-96.24,-96.24,-18.43,-17.37,0.95,9.66,7.51,1907.0,True,83.97,70.88454950965843,-153.7994254382764
0129,18,1.0,gt2,55,-71.99,-71.99,-18.1,-16.87,0.9,16.3,71.96,1453.0,True,83.9,70.88455737344225,-153.7992398078017
0129,18,1.0,gt2,60,,,,,,,,,False,83.93,70.88442105060226,-153.80247764041673
0129,18,1.0,gt2,45,-35.24,-35.24,-11.81,,,,,1090.0,False,83.94,70.88445957182016,-153.8015046413042
0129,18,1.0,gt2,65,-45.67,-45.67,-15.3,,,,,1090.0,False,81.61,70.88453107007933,-153.79771650560144
0129,18,1.0,gt2,41,-40.11,-40.11,-13.44,,,,,1090.0,False,83.88,70.88451015608415,-153.80035879701106
0129,18,1.0,gt2,44,,,,,,,,,False,83.88,70.88431965272848,-153.80488233489237
0129,18,1.0,gt2,53,1.83,-1.83,,,,,,90.0,False,84.01,70.88458354773184,-153.79861815891496
0129,18,1.0,gt3,87,-83.6,-83.6,-30.57,-30.13,0.92,16.77,110.07,999.0,True,83.47,70.88664407059962,-153.71048799921311
0129,18,1.0,gt3,94,-41.15,-41.15,-13.79,,,,,1090.0,False,83.67,70.88665957606277,-153.71011532280068
0129,18,1.0,gt3,86,-39.93,-41.09,-12.36,-12.96,0.99,3.09,15.42,1180.0,True,83.7,70.88666801898461,-153.70991212352953
0129,18,1.0,gt3,71,-91.13,-91.13,-24.42,-23.48,0.86,18.9,28.6,1363.0,True,87.3,70.8865350172282,-153.71310638579806
0129,18,1.0,gt3,82,-5.42,-112.19,-2.42,1.2,0.0,89.45,716.68,817.0,True,87.26,70.88649891923335,-153.71397305767115
0129,18,1.0,gt3,70,-42.5,-42.5,-14.24,,,,,1090.0,False,87.31,70.88655458294423,-153.71263624866455
0129,18,1.0,gt3,81,-93.63,-93.63,-18.83,-17.83,0.98,9.43,31.61,1816.0,True,87.49,70.88657862952938,-153.71205809266226
0129,18,1.0,gt3,80,-34.66,-34.66,-27.88,,,,,454.0,False,88.92,70.88641098562599,-153.71608564221054
0129,24,0.25,gt1,25,-82.98,-90.66,-16.68,-15.52,0.91,9.02,4.81,1817.0,True,78.93,70.88036548312473,-153.8875625508534
0129,24,0.25,gt1,29,-90.66,-90.66,-19.19,-16.53,0.91,10.39,7.42,1726.0,True,78.7,70.88037265278913,-153.88739418112004
0129,24,0.25,gt1,9,-98.89,-98.89,-18.94,-17.49,0.96,8.39,4.72,1907.0,True,87.34,70.8802802483723,-153.8895947245525
0129,24,0.25,gt1,7,-128.22,-128.22,-28.64,-22.03,0.82,19.91,14.15,1635.0,True,87.35,70.88026440227922,-153.88993277982772
0129,24,0.25,gt1,21,-97.73,-97.73,-18.72,-16.98,0.95,9.25,5.6,1907.0,True,79.0,70.88037694134351,-153.88729367960795
0129,24,0.25,gt1,16,-69.63,-71.02,-14.74,-15.9,0.97,7.09,8.18,1726.0,True,87.37,70.88029619216438,-153.8893259748098
0129,24,0.25,gt1,20,-78.97,-79.73,-15.88,-16.33,1.0,3.38,10.84,1816.0,True,78.72,70.88040713912052,-153.8865846273977
0129,24,0.25,gt1,10,-73.78,-73.78,-42.37,-41.79,0.89,14.49,45.72,636.0,True,87.28,70.88025238936717,-153.89021507346328
0129,24,0.25,gt1,17,-66.2,-70.31,-13.32,-14.7,0.99,5.38,5.01,1816.0,True,87.3,70.8803008647897,-153.8890768893855
0129,24,0.25,gt1,26,-71.92,-350.22,-48.2,47.05,0.04,188.57,711.74,545.0,True,87.39,70.88024176546398,-153.89046690884274
0129,24,0.25,gt1,12,,,,,,,,,False,87.18,70.88012847943446,-153.89312530211157
0129,24,0.25,gt2,36,-107.21,-107.21,-18.74,-17.38,0.95,9.02,4.58,2089.0,True,83.86,70.88444589175647,-153.80188375679222
